X-Coordinate,Y-Coordinate
-95.46126249999999,30.1658207
-97.90307849999999,31.124062
-121.082167,38.6857367
-81.73734850000001,38.3606509
-122.2363548,37.48521520000001
-90.69984769999999,38.8106075
-117.8531119,33.7877944
-80.2264393,25.7889689
-117.8903397,34.0900091
-102.3676431,31.8456816
-90.19940419999999,38.6270025
-88.12271989999999,42.0629915
-120.0979551,37.4324391
-104.9847179,39.737567
14.373271,50.131026
-117.8103367,34.0286226
-92.28959479999999,34.7464809
-87.6656014,41.5572567
-104.9847179,39.737567
-85.0322444,33.0362218
-77.6109219,43.16103
-86.39777350000001,39.8433769
-90.1848103,32.2987573
-87.9656098,41.5119761
-111.9391031,40.6096698
-170.700897,-14.27933
-73.8886108,42.85633600000001
-80.0905465,26.5317866
-77.0283092,38.6676168
-83.7315723,32.4582065
-83.4562744,31.9510105
-83.1140771,40.0992294
-85.7584557,38.2526647
-73.95,40.65
-75.47603269999999,39.0712238
-74.01347299999999,41.0887073
-74.9290536,39.7912261
-96.7297205,32.9481789
-77.0364641,38.90723089999999
