X-Coordinate,Y-Coordinate
-79.9958864,40.44062479999999
-71.3615556,46.7989444
-113.4909267,53.544389
-81.243177,42.9869502
-67.68668749999999,48.5636652
18.0407528,48.8944464
11.97456,57.70887
-79.3831843,43.653226
-113.4909267,53.544389
-114.0581012,51.0453246
-79.3831843,43.653226
-83.35270969999999,42.36837
-123.1139268,49.261226
-63.5753196,44.6488625
-63.13107040000001,46.23824
-118.2436849,34.0522342
-79.2482555,42.9921579
28.8850555,61.86870219999999
-75.69719309999999,45.4215296
8.4972962,48.0635425
-79.3831843,43.653226
13.003822,55.604981
-75.89868349999999,45.3088185
-78.86579119999999,43.8970929
